	sequences per sample	iteration	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
alpha_rarefaction_12004_0.txt	12004	0	20.0	46.2	25.0	44.2	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.25
alpha_rarefaction_12004_1.txt	12004	1	20.0	45.0	28.0	47.0	23.0	97.0	29.0	25.0	16.0	41.0	25.0	21.0	18.0	26.0	22.0	48.0
alpha_rarefaction_12004_2.txt	12004	2	20.0	46.0	24.25	44.2	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	27.0	22.0	46.0
alpha_rarefaction_12004_3.txt	12004	3	20.0	46.0	24.25	43.0	23.0	97.0	29.0	25.0	16.0	40.0	26.0	22.0	18.0	26.0	22.0	46.0
alpha_rarefaction_12004_4.txt	12004	4	20.0	46.2	24.25	43.0	22.0	97.0	29.0	25.0	16.0	42.0	26.0	22.0	18.0	26.0	22.0	48.5
alpha_rarefaction_12004_5.txt	12004	5	20.0	47.5	26.5	44.0	23.0	95.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	25.0	22.0	47.25
alpha_rarefaction_12004_6.txt	12004	6	20.0	45.1666666667	24.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.5
alpha_rarefaction_12004_7.txt	12004	7	20.0	44.0	24.3333333333	44.0	23.0	97.0	29.0	24.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.75
alpha_rarefaction_12004_8.txt	12004	8	20.0	45.0	24.3333333333	44.2	23.0	97.5	29.0	24.0	16.0	41.0	26.0	22.0	18.0	25.0	22.0	50.5
alpha_rarefaction_12004_9.txt	12004	9	20.0	46.2	27.0	44.0	23.0	97.5	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	49.5
alpha_rarefaction_14003_0.txt	14003	0	19.0	46.0	25.5	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.3333333333
alpha_rarefaction_14003_1.txt	14003	1	20.0	46.0	24.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_14003_2.txt	14003	2	20.0	56.0	25.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_14003_3.txt	14003	3	20.0	46.25	25.3333333333	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	25.0	22.0	49.5
alpha_rarefaction_14003_4.txt	14003	4	20.0	46.5	25.5	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	25.0	22.0	48.0
alpha_rarefaction_14003_5.txt	14003	5	20.0	46.0	26.0	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_14003_6.txt	14003	6	20.0	45.3333333333	24.3333333333	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_14003_7.txt	14003	7	20.0	45.0	25.0	43.3333333333	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_14003_8.txt	14003	8	20.0	46.0	25.3333333333	44.0	23.0	97.0	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
