	sequences per sample	iteration	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
alpha_rarefaction_10005_6.txt	10005	6	1.84025	3.68703	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_10005_7.txt	10005	7	1.84025	3.68703	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.36787
alpha_rarefaction_10005_8.txt	10005	8	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_10005_9.txt	10005	9	1.84025	3.67054	2.37674	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.33091
alpha_rarefaction_12004_0.txt	12004	0	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_12004_1.txt	12004	1	1.84025	3.68719	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	1.92697	1.60795	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_12004_2.txt	12004	2	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	2.63798
alpha_rarefaction_12004_3.txt	12004	3	1.84025	3.68735	2.37674	2.57281	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	2.63798
alpha_rarefaction_12004_4.txt	12004	4	1.84025	3.68735	2.37689	2.51802	3.08768	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.34863
alpha_rarefaction_12004_5.txt	12004	5	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.0363
alpha_rarefaction_12004_6.txt	12004	6	1.84025	3.68735	2.36416	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.92054
alpha_rarefaction_12004_7.txt	12004	7	1.81692	3.64121	2.37689	2.57295	3.10433	3.53791	1.76119	1.84831	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_12004_8.txt	12004	8	1.84025	3.68735	2.37674	2.57295	3.10433	3.53791	1.76119	1.84831	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_12004_9.txt	12004	9	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_14003_0.txt	14003	0	1.81692	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_14003_1.txt	14003	1	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_14003_2.txt	14003	2	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_14003_3.txt	14003	3	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.8679	1.16215	4.07852
alpha_rarefaction_14003_4.txt	14003	4	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_14003_5.txt	14003	5	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_14003_6.txt	14003	6	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_14003_7.txt	14003	7	1.84025	3.68719	2.37689	2.57281	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_14003_8.txt	14003	8	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_14003_9.txt	14003	9	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.92054
alpha_rarefaction_16002_0.txt	16002	0	1.84025	3.63242	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_16002_1.txt	16002	1	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_16002_2.txt	16002	2	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_16002_3.txt	16002	3	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	3.34863
alpha_rarefaction_16002_4.txt	16002	4	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_16002_5.txt	16002	5	1.84025	3.68735	2.37689	2.57295	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
alpha_rarefaction_16002_6.txt	16002	6	1.84025	3.68735	2.37689	2.5728	3.10433	3.53791	1.76119	1.92802	1.06425	1.31808	2.07873	1.6247	1.31256	1.89123	1.16215	4.07852
