"","Genus","Present in Bewell?","Present in Mimic?","Present in Both?"
"1266","Sporosarcina","N","Y","N"
"1267","Stackebrandtia","N","Y","N"
"1268","Stakelama","N","Y","N"
"1269","Staphylococcus","N","Y","N"
"1270","Starkeya","N","Y","N"
"1271","Stenotrophobacter","N","Y","N"
"1272","Stenotrophomonas","N","Y","N"
"1273","Steroidobacter","N","Y","N"
"1274","Stigmatella","N","Y","N"
"1275","Streptacidiphilus","N","Y","N"
"1277","Streptomonospora","N","Y","N"
"1278","Streptomyces","N","Y","N"
"1279","Streptosporangium","N","Y","N"
"1280","SU2_symbiont_group","N","Y","N"
"1281","Subdoligranulum","N","Y","N"
"1282","Subgroup_10","N","Y","N"
"1283","Subgroup_23","N","Y","N"
"1284","Sulfobacillus","N","Y","N"
"1285","Sulfuricurvum","N","Y","N"
"1286","Sulfurovum","N","Y","N"
"1287","SUP05_cluster","N","Y","N"
"1289","Sva0996_marine_group","N","Y","N"
"1290","Symbiobacterium","N","Y","N"
"1291","Symplocastrum_CPER-KK1","N","Y","N"
"1292","Synechococcus_CC9902","N","Y","N"
"1293","Synechococcus_MBIC10613","N","Y","N"
"1294","Syntrophaceticus","N","Y","N"
"1295","Syntrophobacter","N","Y","N"
"1296","Syntrophomonas","N","Y","N"
"1297","Syntrophothermus","N","Y","N"
"1298","SZB85","N","Y","N"
"1299","Tahibacter","N","Y","N"
"1300","Taibaiella","N","Y","N"
"1301","Tardiphaga","N","Y","N"
"1302","Tatumella","N","Y","N"
"1303","Tenacibaculum","N","Y","N"
"1304","Tepidanaerobacter","N","Y","N"
"1305","Tepidimicrobium","N","Y","N"
"1306","Tepidimonas","N","Y","N"
"1307","Terrabacter","N","Y","N"
"1308","Terracidiphilus","N","Y","N"
"1309","Terribacillus","N","Y","N"
"1310","Terrimicrobium","N","Y","N"
"1311","Terrisporobacter","N","Y","N"
"1312","Tersicoccus","N","Y","N"
"1313","Tetragenococcus","N","Y","N"
"1314","Thauera","N","Y","N"
"1315","Thermaerobacter","N","Y","N"
"1316","Thermasporomyces","N","Y","N"
"1317","Thermicanus","N","Y","N"
"1318","Thermincola","N","Y","N"
"1319","Thermoactinomyces","N","Y","N"
"1320","Thermoanaerobacterium","N","Y","N"
"1321","Thermobacillus","N","Y","N"
"1322","Thermobifida","N","Y","N"
"1323","Thermobispora","N","Y","N"
"1324","Thermoflavimicrobium","N","Y","N"
"1325","Thermomonas","N","Y","N"
"1326","Thermomonospora","N","Y","N"
"1327","Thermopolyspora","N","Y","N"
"1328","Thermosipho","N","Y","N"
"1329","Thermovirga","N","Y","N"
"1330","Thiocapsa","N","Y","N"
"1331","Thiohalocapsa","N","Y","N"
"1332","Thiohalomonas","N","Y","N"
"1333","Thiorhodococcus","N","Y","N"
"1334","Timonella","N","Y","N"
"1335","Tissierella","N","Y","N"
"1336","Treponema_2","N","Y","N"
"1337","Trichococcus","N","Y","N"
"1338","Tropicimonas","N","Y","N"
"1339","Truepera","N","Y","N"
"1340","Tsukamurella","N","Y","N"
"1341","Tuberibacillus","N","Y","N"
"1342","Tumebacillus","N","Y","N"
"1344","Tychonema_CCAP_1459-11B","N","Y","N"
"1346","Tyzzerella_3","N","Y","N"
"1347","Tyzzerella_4","N","Y","N"
"1348","UBA1819","N","Y","N"
"1349","UC5-1-2E3","N","Y","N"
"1350","Ureibacillus","N","Y","N"
"1351","Vagococcus","N","Y","N"
"1352","Variovorax","N","Y","N"
"1354","Verrucosispora","N","Y","N"
"1355","Verticia","N","Y","N"
"1356","Vibrio","N","Y","N"
"1358","Virgibacillus","N","Y","N"
"1359","Virgisporangium","N","Y","N"
"1360","Viridibacillus","N","Y","N"
"1361","Vishniacozyma","N","Y","N"
"1362","Vogesella","N","Y","N"
"1363","Vulgatibacter","N","Y","N"
"1364","W15","N","Y","N"
"1365","W5","N","Y","N"
"1366","W5053","N","Y","N"
"1367","Waddlia","N","Y","N"
"1368","Weissella","N","Y","N"
"1369","Williamsia","N","Y","N"
"1370","Woeseia","N","Y","N"
"1371","Xanthobacter","N","Y","N"
"1372","Xanthomonas","N","Y","N"
"1373","XBB1006","N","Y","N"
"1374","Xylophilus","N","Y","N"
"1375","Yaniella","N","Y","N"
"1376","Yonghaparkia","N","Y","N"
"1377","Yuhushiella","N","Y","N"
"1378","Zavarzinella","N","Y","N"
"1379","ZOR0006","N","Y","N"
