"","Genus","Present in Bewell?","Present in Mimic?","Present in Both?"
"518","g_unclassified_Cellvibrionaceae","N","Y","N"
"519","g_unclassified_Chitinophagaceae","N","Y","N"
"520","g_unclassified_Chlamydiaceae","N","Y","N"
"521","g_unclassified_Chloroflexaceae","N","Y","N"
"522","g_unclassified_Choanephoraceae","N","Y","N"
"523","g_unclassified_Christensenellaceae","N","Y","N"
"524","g_unclassified_Chromatiaceae","N","Y","N"
"525","g_unclassified_Chroococcidiopsaceae","N","Y","N"
"526","g_unclassified_Clade_II","N","Y","N"
"527","g_unclassified_Clostridiaceae_1","N","Y","N"
"528","g_unclassified_Clostridiaceae_2","N","Y","N"
"529","g_unclassified_Clostridiales_vadinBB60_group","N","Y","N"
"530","g_unclassified_Colpodellida_fa","N","Y","N"
"531","g_unclassified_Coriobacteriales_Incertae_Sedis","N","Y","N"
"532","g_unclassified_Corynebacteriaceae","N","Y","N"
"533","g_unclassified_Cryomorphaceae","N","Y","N"
"534","g_unclassified_CWT_CU03-E12","N","Y","N"
"535","g_unclassified_Cyanobiaceae","N","Y","N"
"536","g_unclassified_D05-2","N","Y","N"
"537","g_unclassified_Defluviitaleaceae","N","Y","N"
"538","g_unclassified_Demequinaceae","N","Y","N"
"539","g_unclassified_Dermabacteraceae","N","Y","N"
"540","g_unclassified_Dermacoccaceae","N","Y","N"
"541","g_unclassified_Dermatophilaceae","N","Y","N"
"542","g_unclassified_Desulfarculaceae","N","Y","N"
"543","g_unclassified_Desulfobacteraceae","N","Y","N"
"544","g_unclassified_Desulfobulbaceae","N","Y","N"
"545","g_unclassified_Desulfovibrionaceae","N","Y","N"
"546","g_unclassified_DEV007","N","Y","N"
"547","g_unclassified_Devosiaceae","N","Y","N"
"548","g_unclassified_Diplorickettsiaceae","N","Y","N"
"549","g_unclassified_Eggerthellaceae","N","Y","N"
"550","g_unclassified_Enterobacteriaceae","N","Y","N"
"551","g_unclassified_Enterococcaceae","N","Y","N"
"552","g_unclassified_Erysipelotrichaceae","N","Y","N"
"553","g_unclassified_Eubacteriaceae","N","Y","N"
"554","g_unclassified_Euzebyaceae","N","Y","N"
"555","g_unclassified_f_unclassified_1-20","N","Y","N"
"556","g_unclassified_f_unclassified_11-24","N","Y","N"
"557","g_unclassified_f_unclassified_Acidobacteriales","N","Y","N"
"558","g_unclassified_f_unclassified_Actinomarinales","N","Y","N"
"559","g_unclassified_f_unclassified_ADurb.Bin180","N","Y","N"
