"term","estimate","std.error","statistic","p.value","padj","APlab","RHlab"
"ASV399",2649541.5736877,1146892.49072567,2.31019175303106,0.0241655143534195,0.354724235260633,"ASV399","s__unclassified-g__GCA-900066755"
"ASV234",-85237.7095747582,37722.466787498,-2.25960062619786,0.0273705004215705,0.354724235260633,"ASV234","s__unclassified-g__Lachnoclostridium"
"ASV1692",4746282.00574999,2101567.45893599,2.2584485620809,0.0273892535700301,0.354724235260633,"ASV1692","s__unclassified-f__Lachnospiraceae"
"ASV1693",4746282.00574999,2101567.45893599,2.2584485620809,0.0273892535700301,0.354724235260633,"ASV1693","s__unclassified-f__Lachnospiraceae"
"ASV1694",4746282.00574999,2101567.45893599,2.2584485620809,0.0273892535700301,0.354724235260633,"ASV1694","s__unclassified-f__Lachnospiraceae"
"ASV1695",4746282.00574999,2101567.45893599,2.2584485620809,0.0273892535700301,0.354724235260633,"ASV1695","s__unclassified-f__Lachnospiraceae"
"ASV1696",4746282.00574999,2101567.45893599,2.2584485620809,0.0273892535700301,0.354724235260633,"ASV1696","s__unclassified-f__Lachnospiraceae"
"ASV296",-109893.76403482,50345.5263733361,-2.18279104323799,0.0327859599415324,0.41450820783223,"ASV296","s__unclassified-g__Lachnoclostridium"
"ASV133",651379.175585504,304973.965227313,2.13585174426282,0.0366480257338326,0.452560503829422,"ASV133","s__unclassified-f__Lachnospiraceae"
"ASV152",-20469.0598527252,9656.04635143282,-2.119817895208,0.0380316077361449,0.458972356997567,"ASV152","s__unclassified-f__Lachnospiraceae"
"ASV55",28980.0573493913,14015.6617899646,2.06769097197689,0.0428486988030424,0.505614645875901,"ASV55","s__unclassified-f__Lachnospiraceae"
"ASV57",-16270.5076425667,7957.09601022177,-2.04477960573372,0.0451278522220537,0.520932381085011,"ASV57","s__unclassified-g__Lachnoclostridium"
"ASV93",-41942.6294077639,20692.4002887979,-2.02695814996727,0.0469723588420342,0.530687713725961,"ASV93","s__unclassified-f__Lachnospiraceae"
"ASV32",-17140.9254444445,8558.42444567086,-2.00281319923493,0.049574719588727,0.548420335450293,"ASV32","s__unclassified-g__A2"
"ASV82",-11053.0906947552,5597.05407370739,-1.97480505801758,0.0527477365156121,0.571613226322246,"ASV82","s__unclassified-f__Lachnospiraceae"
"ASV3",-6709.51387200842,3432.13691265441,-1.9549085723446,0.0551060462647003,0.583524736839691,"ASV3","s__unclassified-g__Lachnospiraceae_FCS020_group"
"ASV187",-22975.7175559637,11802.9936310796,-1.94660086026515,0.0560447487360155,0.583524736839691,"ASV187","s__unclassified-f__Lachnospiraceae"
"ASV153",-191131.961155459,99334.8694524907,-1.92411750484932,0.0589329174078975,0.590271410377908,"ASV153","s__unclassified-g__Marvinbryantia"
"ASV330",79938.3365492624,41790.1448766011,1.9128513860219,0.0603148752782778,0.590271410377908,"ASV330","s__Lachnospiraceae_NK4A136_group bacterium"
"ASV334",172238.32024996,90463.1456079905,1.90396121085962,0.0614846129247886,0.590271410377908,"ASV334","s__unclassified-g__Lachnospira"
"ASV239",-137862.162085014,72558.3409778917,-1.9000181126939,0.062083673182315,0.590271410377908,"ASV239","s__unclassified-g__Acetatifactor"
"ASV133:treatmentPD1",-642415.498845269,340464.578262743,-1.8868791053779,0.0638608233190945,0.590271410377908,"ASV133","s__unclassified-f__Lachnospiraceae"
"ASV238",-47895.1381852842,25493.9566524939,-1.87868595048384,0.0649157752772788,0.590271410377908,"ASV238","s__unclassified-f__Lachnospiraceae"
"ASV11",14865.3040017247,7971.13544225698,1.86489165933876,0.0669310150169406,0.590271410377908,"ASV11","s__unclassified-f__Lachnospiraceae"
"ASV38",788609.04228668,422978.73348989,1.86441771145341,0.0669985415676567,0.590271410377908,"ASV38","s__unclassified-g__Lachnoclostridium"
"ASV142",303311.170110256,163126.950636712,1.85935658655042,0.0677232229025234,0.590271410377908,"ASV142","s__unclassified-f__Lachnospiraceae"
"ASV142:treatmentPD1",-313825.189229241,168835.699954011,-1.85876085042869,0.0678089567477446,0.590271410377908,"ASV142","s__unclassified-f__Lachnospiraceae"
"ASV221",-83901.080308005,45434.1582856246,-1.84665202292416,0.0694955442440303,0.595195709573872,"ASV221","s__unclassified-f__Lachnospiraceae"
"ASV59:treatmentPD1",74648.8815269401,40585.5354260634,1.8392976892699,0.0706606477368125,0.595568316638849,"ASV59","s__unclassified-g__Marvinbryantia"
"ASV202",-25441.9549002352,13926.2007058927,-1.82691284130852,0.0724506429031691,0.601113927837231,"ASV202","s__unclassified-g__Lachnoclostridium"
"ASV23",-95427.8469214676,52964.2893508449,-1.80173940009535,0.0764486860694129,0.61696997198877,"ASV23","s__unclassified-g__Roseburia"
"ASV38:treatmentPD1",-764564.664809397,424698.249380769,-1.80025386477145,0.076685533241542,0.61696997198877,"ASV38","s__unclassified-g__Lachnoclostridium"
"ASV276",-860225.24494759,481518.517808653,-1.78648424335246,0.0789101966099814,0.624839442555628,"ASV276","s__unclassified-g__Blautia"
"ASV61",-27153.0974363664,15256.6644555953,-1.77975320329,0.0800171037547696,0.624839442555628,"ASV61","s__unclassified-f__Lachnospiraceae"
"ASV23:treatmentPD1",94275.0264653513,53730.8574789651,1.75457885633518,0.0842721217333295,0.625962231229046,"ASV23","s__unclassified-g__Roseburia"
"ASV194",-73759.7831259769,42369.0641431383,-1.74088771176982,0.0866639075639604,0.625962231229046,"ASV194","s__unclassified-f__Lachnospiraceae"
