"treatment.group","days.from.injection","mean.volume","sd.volume","lwr","upr"
"mimic8 x Anti-PD1 x DL017",4,12.6401666666667,10.3883223749875,2.25184429167913,23.0284890416542
"mimic8 x Anti-PD1 x DL017",6,28.9979166666667,25.5897793355407,3.40813733112595,54.5876960022074
"mimic8 x Anti-PD1 x DL017",9,67.9314,34.4841245818275,33.4472754181725,102.415524581827
"mimic8 x Anti-PD1 x DL017",12,46.2836666666667,40.5455767225806,5.73808994408611,86.8292433892472
"mimic8 x Anti-PD1 x DL017",14,31.8095,41.9320604299383,0,73.7415604299383
"mimic8 x Anti-PD1 x DL017",18,37.16275,42.2520813709218,0,79.4148313709218
"mimic8 x Anti-PD1 x DL017",21,40.18025,44.4473879522183,0,84.6276379522183
"mimic8 x IgG x DL017",4,10.6701666666667,4.47379258385247,6.1963740828142,15.1439592505191
"mimic8 x IgG x DL017",6,29.398,9.38417578959388,20.0138242104061,38.7821757895939
"mimic8 x IgG x DL017",9,58.8216666666667,15.3036621788163,43.5180044878503,74.125328845483
"mimic8 x IgG x DL017",12,78.6038333333333,22.9887280875505,55.6151052457828,101.592561420884
"mimic8 x IgG x DL017",14,61.968,29.5944392242867,32.3735607757133,91.5624392242867
"mimic8 x IgG x DL017",18,120.384666666667,42.5345848143994,77.8500818522673,162.919251481066
"mimic8 x IgG x DL017",21,230.118166666667,52.1023536424539,178.015813024213,282.220520309121
"mimic9 x Anti-PD1 x HONC-60 62v2",2,25.58375,14.9061533359549,10.6775966640451,40.4899033359549
"mimic9 x Anti-PD1 x HONC-60 62v2",5,46.1480833333333,24.5177481723275,21.6303351610059,70.6658315056608
"mimic9 x Anti-PD1 x HONC-60 62v2",8,98.9799166666667,37.7194417686909,61.2604748979757,136.699358435358
"mimic9 x Anti-PD1 x HONC-60 62v2",11,96.9676666666667,34.1133955912727,62.8542710753939,131.081062257939
"mimic9 x Anti-PD1 x HONC-60 62v2",14,317.075916666667,253.614498755575,63.4614179110914,570.690415422242
"mimic9 x Anti-PD1 x HONC-60 62v2",17,85.124,59.0763546641124,26.0476453358876,144.200354664112
"mimic9 x Anti-PD1 x HONC-60 62v2",21,73.3424166666667,66.2392036662705,7.10321300039614,139.581620332937
"mimic9 x IgG x HONC-60 62v4",2,23.56,14.7931144016397,8.7668855983603,38.3531144016397
"mimic9 x IgG x HONC-60 62v4",5,66.8050833333333,32.1194949468647,34.6855883864686,98.924578280198
"mimic9 x IgG x HONC-60 62v4",8,91.0651666666667,20.6304185722604,70.4347480944063,111.695585238927
"mimic9 x IgG x HONC-60 62v4",11,200.02825,118.213165213842,81.8150847861584,318.241415213842
"mimic9 x IgG x HONC-60 62v4",14,175.756916666667,160.469314984023,15.2876016826434,336.22623165069
"mimic9 x IgG x HONC-60 62v4",17,894.293583333333,975.584738015689,0,1869.87832134902
"mimic9 x IgG x HONC-60 62v4",21,942.157166666667,766.38520805093,175.771958615737,1708.5423747176
